organic_core,metal_node,topology,smiles,lcd,pld,density,agsa,co2n2_co2_mol_kg,co2n2_n2_mol_kg,co2ch4_co2_mol_kg,co2ch4_ch4_mol_kg,selfies_safe,mask,train/test,scscore
sym_3_vae_456,sym_9_mc_5,spn,[Lr]C=Cc1nnc(nn1)C=C[Lr],46.63901,39.33898,0.136465,4468.62,0.149685891,0.313030034,0.539315948,2.356418159,TRUE,TRUE,1,2.315584464
sym_3_vae_561,sym_5_mc_2,tbo,[Lr]n1ccn([Lr])cc1,27.06984,13.95086,0.290336,5022.1,0.168955953,0.249999632,0.53931407,2.151953955,TRUE,TRUE,1,1.398243714
sym_4_on_8,sym_9_mc_5,iac,CSC/C(c1ccc([Lr])cc1)=C(CSC)\c2ccc([Lr])cc2,24.05472,17.94188,0.257471,5215,0.147682081,0.231087562,0.539298154,2.386521882,TRUE,TRUE,1,2.511106838
sym_5_vae_218,sym_7_mc_4,tpt,[Lr]c1cnc(nc1)c1ncc(cn1)[Lr],40.8589,38.96982,0.158548,5687.06,0.141269909,0.326478519,0.539296534,2.759293168,TRUE,TRUE,1,2.894283744
sym_5_vae_1038,sym_5_mc_2,nbob,CSC1=C2CCC(=C(C(=C2SC)[Lr])SC)C(=C1[Lr])SC,14.99341,8.30927,0.648923,2698.06,0.184789299,0.17804776,0.53928687,2.223230231,TRUE,TRUE,1,3.176298371
sym_4_on_7,sym_9_mc_5,iac,[Lr]c1ccc(cc1)c1c(C)c(C)c(c(c1C)C)c1ccc(cc1)[Lr],24.88167,19.82771,0.21653,5482.32,0.14089262,0.263851183,0.539285645,2.622621881,TRUE,TRUE,1,3.942258552
sym_4_on_6,sym_4_mc_1,diab,CSC1=C(C(SC)=C2C1=C(C([Lr])=C2SC)SC)[Lr],13.80128,9.78016,0.483933,3972.15,0.166669817,0.20451213,0.539283635,2.375433545,TRUE,TRUE,1,2.977084537
sym_3_vae_337,sym_3_mc_0,srsb,[Lr]c1c2CCc2c(c2c1CC2)[Lr],33.43443,30.47279,0.0982233,6306.68,0.166396544,0.483845689,0.53927873,3.373475605,TRUE,TRUE,1,2.890180763
None,sym_16_mc_14,ocu,[Lr]c1cc2[nH]c(c3ccc(c4[nH]c5cc([Lr])ccc5n4)cc3)nc2cc1,36.24145,15.63023,0.252319,4731.67,0.139141813,0.23750927,0.539259436,2.113727442,TRUE,TRUE,1,4.304249428
sym_3_vae_762,sym_3_mc_0,srsb,CCCCCCc1c(c2c(CCCCCC)cc([Lr])s2)sc([Lr])c1,27.07534,19.10067,0.147634,6895.72,0.164670437,0.377383897,0.539253239,2.960333065,TRUE,TRUE,1,3.663384238
None,sym_6_mc_3,nia,[Lr]c1cc2nc(c3ccc(c4[nH]c5ccc([Lr])cc5n4)cc3)[nH]c2cc1,23.74867,16.88389,0.190152,5977.99,0.139001484,0.297165678,0.539252376,2.516923667,TRUE,TRUE,1,4.323977373
sym_3_vae_456,sym_9_mc_5,spn,[Lr]c1ccc(s1)[Lr],28.74435,23.7403,0.358549,2572.17,0.228672209,0.1568038,0.539247874,1.397606971,TRUE,TRUE,1,1.406423867
sym_3_vae_337,sym_6_mc_3,pyr,Oc1c(O)c([Lr])ccc1c2nnc(c3ccc([Lr])cc3)nn2,27.71999,23.63811,0.113999,6467.71,0.143731192,0.408580824,0.539245544,3.127103087,TRUE,TRUE,1,3.923377212
sym_5_vae_BR911,sym_7_mc_4,stp,[Lr]C=CC=C[Lr],21.0971,19.15741,0.422258,3836.07,0.415122908,0.249106038,0.539239814,2.854138483,TRUE,TRUE,1,1.665451788
sym_5_vae_196,sym_9_mc_5,soc,[Lr]c1c(C)cc(c2cc(C)c([Lr])cc2)cc1,24.56857,20.26442,0.269574,4504.22,0.133038521,0.224711629,0.539223081,2.322353976,TRUE,TRUE,1,2.871259356
sym_5_on_11,sym_5_mc_2,ssb,[Lr]n1cc([Lr])nn1,20.17259,10.91384,0.421766,4341.74,0.161133597,0.232035628,0.539196547,2.310122996,TRUE,TRUE,1,1.579602137
sym_5_vae_795,sym_5_mc_2,ssa,[Lr]c1ccc(cc1)c1ncc(cn1)[Lr],38.33354,35.62025,0.130796,5760.78,0.167447404,0.394949003,0.53919028,2.868959377,TRUE,TRUE,0,2.682531719
sym_5_vae_BR3264,sym_8_mc_7,csq,[Lr]C#Cc1ccc(cc1)c1ccc(cc1)C#C[Lr],44.25108,40.72552,0.136933,7373.19,0.163944484,0.411222433,0.539177484,3.019858717,TRUE,TRUE,1,2.6576011
sym_3_on_0,sym_5_mc_2,pto,[Lr]c1cn([Lr])nn1,12.95792,7.17822,0.669999,3723.75,0.155357362,0.167398242,0.539173645,1.813185231,TRUE,TRUE,1,1.579602137
sym_4_on_8,sym_3_mc_0,ctn,[Lr]c1ccc(nc1)c1ccc(cn1)[Lr],30.1693,24.59904,0.0956992,6776.34,0.166395814,0.48403114,0.539156729,3.177792865,TRUE,TRUE,1,2.666385841
sym_5_vae_317,sym_7_mc_4,stp,[Lr]c1cc2c(s1)cc(s2)[Lr],28.90775,27.45223,0.306193,4414.55,0.129351759,0.22987632,0.539150981,2.532510598,TRUE,TRUE,1,2.239944495
sym_5_on_11,sym_9_mc_5,soc,[Lr]c1ccc(cc1)Oc1cncc(c1)[Lr],22.9594,19.46427,0.293323,4415.91,0.135332026,0.210220066,0.539143074,2.093117545,TRUE,TRUE,1,2.856312165
sym_5_vae_795,sym_7_mc_4,tpt,C#Cc1c(c2ccc([Lr])cc2)c(C#C)c(C#C)c(c3ccc([Lr])cc3)c1C#C,29.56778,25.08703,0.206528,5974.39,0.138433621,0.286398355,0.539112359,2.664829761,TRUE,TRUE,0,4.226485712
sym_3_vae_210,sym_9_mc_5,spn,[Lr][Lr],24.32512,20.43857,0.439962,2229.17,0.418944471,0.17780482,0.539105415,1.677221482,TRUE,TRUE,1,1.592330509
sym_3_vae_2082,sym_4_mc_1,ctn,O=c(n([Lr])c(cccc1)c1n2[Lr])c2=O,17.52087,12.14214,0.278154,5818.05,0.166595952,0.273492555,0.539088077,2.490949772,FALSE,FALSE,-1,1.995010882
sym_5_vae_304,sym_9_mc_5,soc,[Lr]c1ccc(cc1)c1ncc(cn1)[Lr],26.45808,18.30843,0.343119,3643.66,0.164308718,0.188183985,0.539070079,1.831139475,TRUE,TRUE,1,2.682531719
sym_3_vae_BR429,sym_9_mc_5,spn,[Lr]CN1C=CC(C=C1)[Lr],32.31905,25.18775,0.291039,3062.2,0.163585837,0.171969574,0.539052249,1.607405137,TRUE,TRUE,0,1.810341367
sym_5_vae_795,sym_4_mc_1,pth,CSC/C(c1ccc([Lr])cc1)=C(CSC)\c2ccc([Lr])cc2,26.46968,21.6075,0.139031,6505.96,0.163210876,0.38170134,0.539046385,3.00621481,TRUE,TRUE,1,2.511106838
sym_5_vae_304,sym_7_mc_4,tpt,[Lr]c1sc2c(c1)sc1c2sc(c1)[Lr],21.53972,17.53144,0.359676,4358.16,0.134951258,0.224940666,0.539016514,2.316594808,TRUE,TRUE,0,2.946928202
sym_3_on_1,sym_5_mc_2,tbo,[Lr]c1ccc(cc1)N=Nc1ccc(cc1)[Lr],48.284,27.40735,0.0948287,6978.48,0.169396653,0.491475615,0.538996068,3.325471284,TRUE,TRUE,1,1.831911922
sym_4_vae_645,sym_4_mc_1,lcsb,[Lr]c1ccc(cc1)c1nnc(nn1)c1ccc(cc1)[Lr],28.26036,23.07395,0.111756,6923.3,0.159975287,0.451229388,0.538965079,3.21075778,TRUE,TRUE,1,2.841385102
sym_4_vae_2723,sym_4_mc_1,diab,Oc1c(cc(c(c1O)[Lr])O)c1nnc(nn1)c1ccc(c(c1)O)[Lr],32.30193,27.30133,0.10821,6259.1,0.180550886,0.453300918,0.538949073,2.986871081,TRUE,TRUE,1,3.688209868
